	index	relevance	text
50	320	0.994408	un projet ambitieux
20	133	0.993173	sorties scolaires
30	205	0.993084	c'est difficile
28	199	0.9889159999999999	plan plat
25	182	0.9876389999999999	le café
24	152	0.9872369999999999	phase temporaire
2	19	0.986366	l'ancien hopital
49	314	0.9857079999999999	participation citoyenne
19	132	0.983336	projet collaboratif
55	347	0.9827	bonne idée
48	313	0.982329	une petite correction
29	204	0.982066	passerelle piéton
21	139	0.9800800000000001	cube ideux
40	259	0.980051	grande salle
44	292	0.979339	wiFi gratuit
4	64	0.9788169999999999	nouveaux occupants
9	80	0.977174	espace FabLab numérique
0	10	0.977061	d'espaces jeunesses
15	110	0.9768100000000001	espace innovant
41	266	0.9767009999999999	les jardins partagés
32	211	0.975723	très bonne idée
10	86	0.975545	pôle ouvert
38	250	0.975478	vocation envisagée n'est
45	293	0.9718549999999999	jardins potagers
16	118	0.9707969999999999	c'est dommage
13	101	0.9702729999999999	futurs personnes
31	207	0.9671919999999999	merveilleux multi complexe
46	295	0.9664739999999999	jardins potagers
1	12	0.9648439999999999	espaces verts
5	66	0.9629139999999999	nouvelles activités proposées
8	74	0.9628059999999999	développement d'espaces artistiques
18	128	0.962789	concerts intra-muros
33	215	0.960228	espaces verts
39	252	0.95615	très bonne idée
6	67	0.952496	dégradation continu
26	193	0.944819	proximité espaces verts
17	125	0.941866	groupes culturels associatifs
52	329	0.939031	les cafés
51	325	0.934983	d'espaces verts possibles
11	90	0.933684	expositions thematiques internationales
35	217	0.9287059999999999	ombragée cafés terrasse
54	346	0.925651	si superficie importante
22	141	0.9252579999999999	locaux partagés
37	247	0.925016	d'espaces vert
27	195	0.924539	très bon projet
36	232	0.923314	l'entrée principale
42	273	0.920503	coquille vide
47	301	0.9153	sci-fi club
12	92	0.9124129999999999	usage pluriel
34	216	0.9119309999999999	ds logements types
43	291	0.911032	espaces verts
3	58	0.908229	artistiques= future zone
53	337	0.9066500000000001	RDC espace public
7	70	0.90561	un parc
23	142	0.904983	un espace
14	105	0.9020619999999999	style théâtre spectacle
